grade,semester,unitTitle,primaryConceptId,type,difficulty,count,evidenceCardIds,examPatternCardIds
P3,lower,期末综合,p3-lower-integrated-review,short-answer,Challenge,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,笔算乘法,two-digit-by-two-digit-multiplication,multiple-choice,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,笔算乘法,two-digit-by-two-digit-multiplication,short-answer,Challenge,2,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,笔算乘法,two-digit-by-two-digit-multiplication,short-answer,Core,2,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,笔算乘法,two-digit-by-two-digit-multiplication,short-answer,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-two-digit-multiplication
P3,lower,解决问题,p3-lower-integrated-review,fill-in,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,解决问题,p3-lower-integrated-review,multiple-choice,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,解决问题,p3-lower-integrated-review,multiple-choice,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,解决问题,p3-lower-integrated-review,short-answer,Challenge,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,解决问题,p3-lower-integrated-review,short-answer,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-integrated-extension
P3,lower,长方形、正方形面积,area-measurement,fill-in,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,长方形、正方形面积,area-measurement,multiple-choice,Foundation,5,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,长方形、正方形面积,area-measurement,multiple-choice,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,除数是一位数的除法,position-direction,fill-in,Core,5,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,除数是一位数的除法,position-direction,multiple-choice,Foundation,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,除数是一位数的除法,position-direction,multiple-choice,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,除数是一位数的除法,position-direction,short-answer,Challenge,2,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,除数是一位数的除法,position-direction,short-answer,Core,1,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-position-division
P3,lower,面积,area-measurement,fill-in,Core,4,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,lower,面积,area-measurement,fill-in,Foundation,2,pep-primary-p3-lower-area-decimal-data,pep-primary-p3-lower-paper-area-perimeter
P3,upper,万以内的加法和减法,time-measurement,fill-in,Core,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-time-measurement-add-sub
P3,upper,万以内的加法和减法,time-measurement,multiple-choice,Core,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-time-measurement-add-sub
P3,upper,万以内的加法和减法,time-measurement,short-answer,Challenge,3,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-time-measurement-add-sub
P3,upper,万以内的加法和减法,time-measurement,short-answer,Core,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-time-measurement-add-sub
P3,upper,万以内的加法和减法,time-measurement,short-answer,Foundation,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-time-measurement-add-sub
P3,upper,倍的认识,times-as-many,fill-in,Core,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-multiplication-division-times
