grade,semester,unitTitle,primaryConceptId,type,difficulty,count,evidenceCardIds,examPatternCardIds
P3,upper,倍的认识,times-as-many,multiple-choice,Core,4,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-multiplication-division-times
P3,upper,倍的认识,times-as-many,multiple-choice,Foundation,2,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-multiplication-division-times
P3,upper,几分之一,fraction-introduction,fill-in,Foundation,4,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,几分之一,fraction-introduction,fill-in,Core,2,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,几分之几,fraction-introduction,fill-in,Core,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,几分之几,fraction-introduction,multiple-choice,Foundation,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,几分之几,fraction-introduction,short-answer,Challenge,2,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,几分之几,fraction-introduction,short-answer,Core,2,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,几分之几,fraction-introduction,short-answer,Foundation,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,分数的初步认识,fraction-introduction,fill-in,Core,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,分数的初步认识,fraction-introduction,multiple-choice,Core,5,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,分数的初步认识,fraction-introduction,multiple-choice,Foundation,1,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-fraction-introduction
P3,upper,周长,rectangle-square,fill-in,Foundation,3,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-perimeter-rectangles
P3,upper,周长,rectangle-square,multiple-choice,Core,2,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-perimeter-rectangles
P3,upper,周长,rectangle-square,multiple-choice,Foundation,3,pep-primary-p3-upper-multidigit-operations-fractions,pep-primary-p3-upper-paper-perimeter-rectangles
