grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds
P1,upper,bnu-primary-p1-upper-solid-shapes,认识图形,multiple-choice,Foundation,3,bnu-primary-p1-upper-solid-shapes,bnu-primary-p1-upper-assessment-solid-shapes|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-solid-shapes,认识图形,fill-in,Core,3,bnu-primary-p1-upper-solid-shapes,bnu-primary-p1-upper-assessment-solid-shapes|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-solid-shapes,认识图形,short-answer,Foundation,3,bnu-primary-p1-upper-solid-shapes,bnu-primary-p1-upper-assessment-solid-shapes|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-solid-shapes,认识图形,multiple-choice,Core,2,bnu-primary-p1-upper-solid-shapes,bnu-primary-p1-upper-assessment-solid-shapes|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-solid-shapes,认识图形,fill-in,Foundation,2,bnu-primary-p1-upper-solid-shapes,bnu-primary-p1-upper-assessment-solid-shapes|bnu-primary-p1-upper-assessment-school-readiness-number-sense,
P1,upper,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,short-answer,Foundation,6,bnu-primary-p1-upper-within-10-add-sub,bnu-primary-p1-upper-assessment-within-10-add-sub|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,multiple-choice,Core,5,bnu-primary-p1-upper-within-10-add-sub,bnu-primary-p1-upper-assessment-within-10-add-sub|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,fill-in,Challenge,5,bnu-primary-p1-upper-within-10-add-sub,bnu-primary-p1-upper-assessment-within-10-add-sub|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-20-add-sub,加与减（二）,multiple-choice,Core,3,bnu-primary-p1-upper-within-20-add-sub,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-20-add-sub,加与减（二）,fill-in,Foundation,3,bnu-primary-p1-upper-within-20-add-sub,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
